MNEMONICO,IMM_CODE,IMM_BYTES,IMM_CYCLES,DIR_CODE,DIR_BYTES,DIR_CYCLES,"IND,X_CODE","IND,X_BYTES","IND,X_CYCLES","IND,Y_CODE","IND,Y_BYTES","IND,Y_CYCLES",EXT_CODE,EXT_BYTES,EXT_CYCLES,INH_CODE,INH_BYTES,INH_CYCLES,REL_CODE,REL_BYTES,REL_CYCLES,Banderas de estado,,,,,,,
aba,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,1B,2,1,-- ,-- ,-- ,-- ,-- ,X,-- ,X,X,X,X
abx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,3A,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
aby,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,18 3A,4,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
adca,89,2,2,99,3,2,A9,4,2,18 A9,5,3,B9,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,X,X,X,X
adcb,C9,2,2,D9,3,2,E9,4,2,18 E9,5,3,F9,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,X,X,X,X
adda,8B,2,2,9B,3,2,AB,4,2,18 AB,5,3,BB,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,X,X,X,X
addb,CB,2,2,DB,3,2,EB,4,2,18 EB,5,3,FB,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,-- ,X,X,X,X
addd,C3,4,3,D3,5,2,E3,6,2,18 E3,7,3,F3,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
anda,84,2,2,94,3,2,B4,4,2,18 A4,5,3,B4,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
andb,C4,2,2,D4,3,2,E4,4,2,18 E4,5,3,F4,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
asl,-- ,-- ,-- ,-- ,-- ,-- ,68,6,2,18 68,7,3,78,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
asla,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,48,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
aslb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,58,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
asld,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,5,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
asr,-- ,-- ,-- ,-- ,-- ,-- ,67,6,2,18 67,7,3,77,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
asra,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,47,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
